period,rank,label,kind,candidate_group,recommended_keep,x,y
2025,64,정치,token,top_token,,0.9317938732308121,1.1907555057038919
2025,65,구간,token,top_token,,1.3237157448476558,-1.2482325192835293
2025,66,일본,token,top_token,,1.3064816700106365,1.78050800862344
2025,67,이상,token,top_token,,0.4030911354757441,2.039596225573536
2025,68,결과,token,top_token,,0.5567898684915228,2.322123702019923
2025,69,가치,token,top_token,,0.7131727674648064,1.2541205824777786
2025,70,변동,token,top_token,,1.1124189425316329,-2.154545969834519
2026,1,슈카,member,anchor,yes,0.697033341683766,0.8502294132073004
2026,2,용서,token,anchor_neighbor,yes,0.13208081157266208,0.26586907247066555
2026,3,꺼드럭,token,anchor_neighbor,yes,0.614201035592439,0.48135573824776484
2026,4,채널,token,anchor_neighbor,yes,0.6773211818222368,0.6690123792157281
2026,5,피자,token,anchor_neighbor,yes,0.11093228245218224,0.6970068290716833
2026,6,공유,token,anchor_neighbor,yes,0.6179487424163065,1.000326598623367
2026,7,알상무,member,anchor_neighbor,yes,1.3042037184215873,0.48103857843746367
2026,8,인스타,token,anchor_neighbor,yes,1.6348594149305051,-0.150046473668763
2026,9,연금저축펀드,token,anchor_neighbor,yes,0.9287546696670149,-0.03168611610569354
2026,10,그날,token,anchor_neighbor,yes,0.5600233774275248,-0.009473013335894257
2026,11,시초가,token,anchor_neighbor,yes,0.7570798112701271,0.3363932192125652
2026,12,넷플릭스,token,anchor_neighbor,yes,0.5868304071067344,0.22406326237760676
2026,13,니니,member,anchor_neighbor,yes,1.11147142421158,-0.1377932691381629
2026,14,변종,token,anchor_neighbor,yes,0.34762691848490074,0.02162812099115861
2026,15,풀매수,token,anchor_neighbor,yes,0.5640096281366909,-0.09794530370714978
2026,16,인증,token,anchor_neighbor,yes,1.1110131107431664,-0.051422765128436805
2026,17,사라,token,anchor_neighbor,yes,0.5365383823720047,0.1551494602000657
2026,18,니니누나,token,anchor_neighbor,yes,0.6765025501142241,0.4101050577208675
2026,19,리서치,token,top_token,,-0.06578812563170759,0.24406334674032304
2026,20,예측,token,top_token,,0.4679689656445634,-0.9249809449774415
2026,21,정확,token,top_token,,-1.0076103075328295,0.6039345762541282
2026,22,도움,token,top_token,,0.28729151071503617,1.0237034167635186
