state_label_ko,start_date,end_date
공포,2025-08-30,2025-08-31
낙관,2025-09-01,2025-09-05
신중,2025-09-06,2025-09-07
낙관,2025-09-08,2025-09-12
탐욕,2025-09-13,2025-09-13
신중,2025-09-14,2025-09-14
낙관,2025-09-15,2025-09-16
신중,2025-09-17,2025-09-17
낙관,2025-09-18,2025-09-25
신중,2025-09-26,2025-09-27
공포,2025-09-28,2025-09-28
낙관,2025-09-29,2025-10-03
탐욕,2025-10-04,2025-10-04
낙관,2025-10-05,2025-10-10
탐욕,2025-10-11,2025-10-11
공포,2025-10-12,2025-10-12
낙관,2025-10-13,2025-10-13
탐욕,2025-10-14,2025-10-14
낙관,2025-10-15,2025-10-17
신중,2025-10-18,2025-10-19
낙관,2025-10-20,2025-10-24
공포,2025-10-25,2025-10-25
탐욕,2025-10-26,2025-10-26
낙관,2025-10-27,2025-11-01
신중,2025-11-02,2025-11-02
낙관,2025-11-03,2025-11-04
탐욕,2025-11-05,2025-11-05
낙관,2025-11-06,2025-11-07
공포,2025-11-08,2025-11-08
신중,2025-11-09,2025-11-09
낙관,2025-11-10,2025-11-13
신중,2025-11-14,2025-11-14
공포,2025-11-15,2025-11-15
신중,2025-11-16,2025-11-16
낙관,2025-11-17,2025-11-17
공포,2025-11-18,2025-11-18
낙관,2025-11-19,2025-11-20
신중,2025-11-21,2025-11-21
공포,2025-11-22,2025-11-22
신중,2025-11-23,2025-11-23
낙관,2025-11-24,2025-11-24
신중,2025-11-25,2025-11-26
낙관,2025-11-27,2025-11-28
공포,2025-11-29,2025-11-29
낙관,2025-11-30,2025-12-05
탐욕,2025-12-06,2025-12-06
신중,2025-12-07,2025-12-07
낙관,2025-12-08,2025-12-10
신중,2025-12-11,2025-12-11
낙관,2025-12-12,2025-12-12
공포,2025-12-13,2025-12-13
신중,2025-12-14,2025-12-14
탐욕,2025-12-15,2025-12-15
낙관,2025-12-16,2025-12-16
신중,2025-12-17,2025-12-17
공포,2025-12-18,2025-12-18
낙관,2025-12-19,2025-12-20
탐욕,2025-12-21,2025-12-21
낙관,2025-12-22,2025-12-22
공포,2025-12-23,2025-12-23
신중,2025-12-24,2025-12-25
낙관,2025-12-26,2025-12-27
공포,2025-12-28,2025-12-28
낙관,2025-12-29,2025-12-29
공포,2025-12-30,2026-01-01
낙관,2026-01-02,2026-01-02
신중,2026-01-03,2026-01-03
공포,2026-01-04,2026-01-04
낙관,2026-01-05,2026-01-11
탐욕,2026-01-12,2026-01-12
낙관,2026-01-13,2026-01-15
탐욕,2026-01-16,2026-01-16
낙관,2026-01-17,2026-01-17
공포,2026-01-18,2026-01-18
탐욕,2026-01-19,2026-01-19
공포,2026-01-20,2026-01-20
탐욕,2026-01-21,2026-01-23
신중,2026-01-24,2026-01-25
탐욕,2026-01-26,2026-01-26
낙관,2026-01-27,2026-01-27
탐욕,2026-01-28,2026-01-30
공포,2026-01-31,2026-02-03
탐욕,2026-02-04,2026-02-04
공포,2026-02-05,2026-02-07
신중,2026-02-08,2026-02-08
탐욕,2026-02-09,2026-02-12
공포,2026-02-13,2026-02-13
낙관,2026-02-14,2026-02-14
신중,2026-02-15,2026-02-15
낙관,2026-02-16,2026-02-16
공포,2026-02-17,2026-02-17
신중,2026-02-18,2026-02-18
탐욕,2026-02-19,2026-02-20
공포,2026-02-21,2026-02-22
탐욕,2026-02-23,2026-02-27
신중,2026-02-28,2026-02-28
공포,2026-03-01,2026-03-01
낙관,2026-03-02,2026-03-02
탐욕,2026-03-03,2026-03-03
공포,2026-03-04,2026-03-08
탐욕,2026-03-09,2026-03-09
공포,2026-03-10,2026-03-10
탐욕,2026-03-11,2026-03-13
신중,2026-03-14,2026-03-15
탐욕,2026-03-16,2026-03-20
공포,2026-03-21,2026-03-22
탐욕,2026-03-23,2026-03-25
공포,2026-03-26,2026-03-28
신중,2026-03-29,2026-03-29
낙관,2026-03-30,2026-04-01
신중,2026-04-02,2026-04-13
낙관,2026-04-14,2026-04-17
